1,,573 839,0,,,0,,573 839,
№,Контрагент - поставщик,"Задолженность за
прошлые месяцы (с «+» - кредиторка, с «-» - дебиторка)",Сумма отгрузок и оказанных услуг (ОПИУ),Дата документа,Номер документа,Оплачено в текущем месяце (ДДС),Дата оплат,"Остаток задолженности
на конец месяца (с «+» - кредиторка, с «-» - дебиторка) - БАЛАНС",Статья ОПиУ
1,[counterparty_c4e92b27e2],63 918,0,,,0,,63 918,Расход продуктов (фудкост)
2,[counterparty_fb5384e8b9],75 268,0,,,0,,75 268,Расход продуктов (фудкост)
3,[counterparty_e08d6e58b9],22 485,0,,,0,,22 485,Аренда и комуналка
4,[counterparty_416f60a5fd],0,0,,,0,,0,Прочие маркетинговые услуги
5,[counterparty_7394704068],0,0,,,0,,0,Расход продуктов (фудкост)
6,[counterparty_6d6a37d791],3 164,0,,,0,,3 164,Расход продуктов (фудкост)
7,[counterparty_07485de87e],0,0,,,0,,0,Расход продуктов (фудкост)
8,[counterparty_903a43fe3c],0,0,,,0,,0,Расход продуктов (фудкост)
9,[counterparty_d7a35ccc36],0,0,,,0,,0,РУЧКАМИ !!!
10,[counterparty_bb8cb2d348],29 001,0,,,0,,29 001,Расход продуктов (фудкост)
11,[counterparty_8e70032df8],63 291,0,,,0,,63 291,Упаковка и вспомогательные товары
12,[counterparty_19f4d4c15b],97 514,0,,,0,,97 514,Расход продуктов (фудкост)
13,[counterparty_dc430ed78e],345 771,0,,,0,,345 771,Расход продуктов (фудкост)
14,[counterparty_6e66cfc0d7],0,0,,,0,,0,Расход продуктов (фудкост)
15,[counterparty_b2323408fa],0,0,,,0,,0,Упаковка и вспомогательные товары
16,[counterparty_5ea766e786],0,0,,,0,,0,Расход продуктов (фудкост)
17,[counterparty_50d958815d],,0,,,0,,0,Телекоммуникации
18,[counterparty_c7f82a55d3],0,0,,,0,,0,Транспортные услуги
19,[counterparty_ea5804ea3c],0,0,,,0,,0,Прочие маркетинговые услуги
20,[counterparty_347b901ee4],-70 750,0,,,0,,-70 750,Контекстная реклама
21,[counterparty_9147d41bbb],-5 000,0,,,0,,-5 000,Коммунальные платежи 
22,[counterparty_1c967c7874],-5 000,0,,,0,,-5 000,Комиссия агрегатору
23,[counterparty_e3d41d1621],-2 400,0,,,0,,-2 400,Телекоммуникации
24,[counterparty_cb93f56848],83 348,0,,,0,,83 348,Сайт и приложение
25,[counterparty_483af3edc2],0,0,,,0,,0,Листовки
26,[counterparty_449fa47f79],-12 885,0,,,0,,-12 885,Оплата систем автоматизации
27,[counterparty_33844b2195],-14 000,0,,,0,,-14 000,Прочие маркетинговые услуги
28,[counterparty_ab325eb126],-10 000,0,,,0,,-10 000,Оплата систем автоматизации
29,[counterparty_a8c88d8a2c],-10 000,0,,,0,,-10 000,SEO - оптимизация
