01.06.2024,,employee_b3338b123c,1500,,2026,,,employee_15b9fd024a
05.06.2024,,employee_1e9833c276,1,,01.01.2026,28.05.2026,147,employee_908545f9b4
15.06.2024,,employee_b5882a32e7,,,2025,,,employee_f420556a57
18.06.2024,,employee_51247484d7,,,,,,employee_7ae55ec1c8
19.06.2024,,employee_0fd7b576bb,5000,,,,,employee_2dcfa0649d
20.06.2024,,employee_908545f9b4,,,,,,employee_f2a23819d8
21.06.2024,,employee_8b0eb48cc4,,,,,,employee_a285bf7cad
22.06.2024,,employee_82ceca1c22,1000,,,,,employee_b0e5843216
23.06.2024,,employee_2dcfa0649d,,,,,,employee_b3338b123c
24.06.2024,,employee_47a96f6744,1,,,,,employee_9b36065fce
25.06.2024,,employee_e0b9462a9d,1,,,,,employee_eff4f87fa3
26.06.2024,,employee_2d990cc9bd,,,,,,employee_44aa735d3b
27.06.2024,,employee_9747b9d844,,,,,,employee_3c4a629691
28.06.2024,,employee_13c178ad47,1,,,,,employee_8b0eb48cc4
29.06.2024,,employee_62c77ec038,,,,,,
30.06.2024,,employee_5630eb82a8,,,,,,
01.07.2024,,employee_3fa5f3a2b5,,,,,,
02.07.2024,,employee_5b393a6334,1,,,,,
03.07.2024,,,,,,,,
04.07.2024,,,,,,,,
05.07.2024,,,,,,,,
06.07.2024,,,,,,,,
07.07.2024,,,,,,,,
08.07.2024,,,,,,,,
09.07.2024,,,,,,,,
10.07.2024,,,,,,,,
11.07.2024,,,,,,,,
12.07.2024,,,,,,,,
13.07.2024,,,,,,,,
14.07.2024,,,,,,,,
15.07.2024,,,,,,,,
16.07.2024,,,,,,,,
18.07.2024,,,,,,,,
19.07.2024,,,,,,,,
20.07.2024,,,,,,,,
21.07.2024,,,,,,,,
22.07.2024,,,,,,,,
23.07.2024,,,,,,,,
24.07.2024,,,,,,,,
25.07.2024,,,,,,,,
26.07.2024,,,,,,,,
27.07.2024,,,,,,,,
28.07.2024,,,,,,,,
29.07.2024,,,,,,,,
30.07.2024,,,,,,,,
31.07.2024,,,,,,,,
01.08.2024,,,,,,,,
02.08.2024,,,,,,,,
03.08.2024,,,,,,,,
04.08.2024,,,,,,,,
05.08.2024,,,,,,,,
06.08.2024,,,,,,,,
07.08.2024,,,,,,,,
08.08.2024,,,,,,,,
09.08.2024,,,,,,,,
10.08.2024,,,,,,,,
11.08.2024,,,,,,,,
12.08.2024,,,,,,,,
13.08.2024,,,,,,,,
14.08.2024,,,,,,,,
15.08.2024,,,,,,,,
16.08.2024,,,,,,,,
